qd1,qd2,phrase1,phrase2,label
2069,2070,these our actors  as i foretold you were all spirits and  are melted into air into thin air,he could do nothing to blot out thin air the two syllables that were chaotically repeated while he lay powerless in his bed in the morning and that had the aura of an obscure indictment even as they came to make less and less sense,routh
2071,2072,his whole intricate personality was entirely at the mercy of thin air,victoria axler is wife could no longer care for him and by now needed tending herself,routh
2073,2074,she would cry whenever she saw him at the kitchen table his head in his hands unable to eat the meal she had prepared,try something she begged but he ate nothing said nothing and soon victoria began to panic,routh
2075,2076,she had never seen him give way like this before not even eight years earlier when his elderly parents had died in an automobile crash with his father at the wheel,he wept then and he went on,routh
2077,2078,he always went on,he took the losses hard but the performance never faltered,routh
2079,2080,and when victoria was in turmoil it was he who kept her tough and got her through,there was always a drug drama with her errant son,routh
2081,2082,there was the permanent hardship of aging and the end of her career,so much disappointment but he was there and so she could bear it,routh
2083,2084,if only he were here now that the man on whom she had depended was gone,in the 1950s victoria powers had been balanchine is youngest favorite,routh
2085,2086,then she hurt her knee had an operation danced again hurt it again had another operation and by the time she was rehabilitated the second time round someone else was balanchine is youngest favorite,she never recovered her place,routh
2087,2088,there was a marriage the son a divorce a second marriage a second divorce and then she met and fell in love with simon axler who when he had first come from college two decades earlier to make a career on the new york stage used to go to the city center to see her dance not because he loved ballet but because of his youthful susceptibility to the capacity she had to stir him to lust through the pathway of the tenderest emotions she remained in his memory for years afterward as the very incarnation of erotic pathos,when they met as fortyyearolds in the late seventies it was a long time since anyone had asked her to perform though pluckily she went off every day to her workout at a local dance studio,routh
2089,2090,she had done all she could to keep herself fit and looking youthful but by then her pathos exceeded any ability she had ever had to master it artistically,after the kennedy center debacle and his unexpected collapse victoria fell apart and fled to california to be close to her son,routh
2091,2092,all at once axler was alone in the house in the country and terrified of killing himself,now there was nothing stopping him,routh
2093,2094,now he could go ahead and do what he had found himself unable to do while she was still there walk up the stairs to the attic load the gun put the barrel in his mouth and reach down with his long arms to pull the trigger,the gun as the sequel to the wife,routh
2095,2096,but once she had left he did not make it through the first hour alonedid not even go up the first flight of stairs toward the atticbefore he had phoned his doctor and asked him to arrange for his admission to a psychiatric hospital that very day,within only minutes the doctor had found him a place at hammerton a small hospital with a good reputation a few hours to the north,routh
2097,2098,he was there for twentysix days,once interviewed unpacked relieved of his sharps by a nurse and his valuables taken to the business office for safekeeping once alone and in the room assigned him he sat down on the bed and remembered role after role that he had played with absolute assurance since he had become a professional in his early twentieswhat had destroyed his confidence now,routh
2099,2100,what was he doing in this hospital room,a selftravesty had come into being who did not exist before a selftravesty grounded in nothing and he was that selftravesty and how had it happened,routh
2101,2102,was it purely the passage of time bringing on decay and collapse,was it a manifestation of aging,routh
2103,2104,his appearance was still impressive,his aims as an actor had not changed nor had his painstaking manner of preparation for a role,routh
2105,2106,there was no one more thorough and studious and serious no one who took better care of his talent or who better accommodated himself to the changing conditions of a career in the theater over so many decades,to cease so precipitously being the actor he wasit was inexplicable as though he had been disarmed of the weight and substance of his professional existence one night while he slept,routh
2107,2108,the ability to speak and be spoken to on a stagethat is what it came down to and that is what was gone,the psychiatrist he saw dr,routh
2109,2110,farr questioned whether what had befallen him could truly be causeless and in their twiceweekly sessions asked him to examine the circumstances of his life preceding the sudden onset of what the doctor described as a universal nightmare,by this he meant that the actor is misfortune in the theatergoing out on the stage and finding himself unable to perform the shock of that losswas the content of troubling dreams any number of people had about themselves people who unlike simon axler were not professional actors,routh
2111,2112,going out on the stage and being unable to perform was among the stock set of dreams that most every patient reported at one time or another,that and walking naked down a busy city street or being unprepared for a crucial exam or falling off a cliff or finding on the highway that your brakes do not work,routh
2113,2114,dr,farr asked axler to talk about his marriage about his parents death about his relations with his drugaddicted stepson his boyhood his adolescence his beginnings as an actor an older sister who had died of lupus when he was twenty,routh
2115,2116,the doctor wanted to hear in particular detail about the weeks and months leading up to his appearance at the kennedy center and to know if he remembered anything out of the ordinary large or small occurring during that period,axler worked hard to be truthful and thereby to reveal the origins of his conditionand with that to recover his powersbut as far as he could tell no cause for the universal nightmare presented itself in anything he said sitting across from the sympathetic and attentive psychiatrist,routh
2117,2118,and that made it all the more a nightmare,yet he talked to the doctor anyway each time he showed up,routh
2119,2120,why not,at a certain stage of misery you will try anything to explain what is going on with you even if you know it does not explain a thing and it is one failed explanation after another,routh
2121,2122,some twenty days into his stay at the hospital a night came when instead of waking at two or three and lying sleepless in the midst of his terror till dawn he slept right through until eight in the morning so late by hospital standards that a nurse had to come to his room to awaken him so that he could join the other patients for 745 breakfast in the dining hall and then begin the day which included group therapy art therapy a consultation with dr,farr and a session with the physical therapist who was doing her best to treat his perennial spinal pain,routh
2123,2124,every waking hour was filled with activities and appointments to prevent the patients from retiring to their rooms to lie depressed and miserable on their beds or to sit around with one another as a number of them did in the evenings anyway discussing the ways they had tried to kill themselves,several times he sat in the corner of the rec room with the small gang of suicidal patients and listened to them recalling the ardor with which they had planned to die and bemoaning how they had failed,routh
2125,2126,each of them remained immersed in the magnitude of his or her suicide attempt and the ignominy of having survived it,that people could really do it that they could control their own death was a source of fascination to them allit was their natural subject like boys talking about sports,routh
2127,2128,several described feeling something akin to the rush that a psychopath must get when he kills someone else sweeping over them when they attempted to kill themselves,a young woman said you seem to yourself and to everyone around you paralyzed and wholly ineffectual and yet you can decide to commit the most difficult act there is,routh
2129,2130,it is exhilarating,it is invigorating,routh
2131,2132,it is euphoric,yes said someone else there is a grim euphoria to it,routh
2133,2134,your life is falling apart it has no center and suicide is the one thing you can control,one elderly man a retired schoolteacher who had tried to hang himself in his garage gave them a lecture on the ways outsiders think about suicide,routh
2135,2136,the one thing that everyone wants to do with suicide is explain it,explain it and judge it,routh
2137,2138,it is so appalling for the people that are left behind that there has to be a way of thinking about it,some people think of it as an act of cowardice,routh
2139,2140,some people think of it as criminal as a crime against the survivors,another school of thought finds it heroic and an act of courage,routh
2141,2142,then there are the purists,the question for them is was it justified was there sufficient cause,routh
2143,2144,the more clinical point of view which is neither punitive nor idealizing is the psychologist is which attempts to describe the state of mind of the suicide what state of mind he was in when he did it,he went tediously on in this vein more or less every night as though he were not an anguished patient like the rest of them but a guest lecturer who had been brought in to elucidate the subject that obsessed them night and day,routh
2145,2146,one evening axler spoke upto perform he realized before his largest audience since he had given up acting,suicide is the role you write for yourself he told them,routh
2147,2148,you inhabit it and you enact it,all carefully stagedwhere they will find you and how they will find you,routh
2149,2150,then he added but one performance only,in their conversation everything private was revealed easily and shamelessly suicide seemed like a very huge aim and living a hateful condition,routh
2151,2152,among the patients he met there were some who knew him right off because of his handful of movies but they were too immersed in their own struggles to take much more notice of him than they did of anyone other than themselves,and the staff was too busy to be distracted for long by his theatrical renown,routh
2153,2154,he was all but unrecognizable in the hospital not only to others but to himself,from the moment that he had rediscovered the miracle of a night is sleep and had to be awakened for breakfast by the nurse he began to feel the dread subside,routh
2155,2156,they had given him one medication for depression that did not agree with him then a second and finally a third that caused no intolerable side effects but whether it did him any good he could not tell,he could not believe that his improvement had anything to do with pills or with psychiatric consultations or group therapy or art therapy all of which felt like empty exercises,routh
2157,2158,what continued to frighten him as the day of his discharge approached was that nothing that was happening to him seemed to have to do with anything else,as he had told dr,routh
2159,2160,farrand further convinced himself by having tried to the best of his ability to search for a cause during their sessionshe had lost his magic as an actor for no good reason and it was just as arbitrarily that the desire to end his life began to ebb at least for the time being,nothing has a good reason for happening he said to the doctor later that day,routh
2161,2162,you lose you gainit is all caprice,the omnipotence of caprice,routh
2163,2164,the likelihood of reversal,yes the unpredictable reversal and its power,routh
2165,2166,near the end of his stay he made a friend and each night they had dinner together she repeated her story to him,he had met her first in art therapy and after that they would sit across from each other at a table for two in the dining hall chatting like a couple on a date orgiven the thirtyyear age differencelike a father and daughter albeit about her suicide attempt,routh
2167,2168,the day they meta couple of days after her arrivalthere had been only the two of them in the art room along with the therapist who as though they were kindergarteners had handed each sheets of white paper and a box of crayons to play with and told them to draw whatever they wanted,all that was missing from the room he thought were the little tables and chairs,routh
2169,2170,to satisfy the therapist they worked in silence for fifteen minutes and then again for the sake of the therapist listened attentively to the response each offered to the other is drawing,she had drawn a house and a garden and he a picture of himself drawing a picture a picture he told the therapist when she asked him what he had done of a man who has broken down and who commits himself to a psychiatric hospital and goes to art therapy and is asked there by the therapist to draw a picture,routh
2171,2172,and suppose you were to give your picture a title simon,what would it be,routh
2173,2174,that is easy,what the hell am i doing here,routh
2175,2176,the five other patients scheduled to be at art therapy either were back on their beds unable to do anything except lie there and weep or as though an emergency had befallen them had rushed off without an appointment to their doctors offices and were sitting in the waiting room preparing to lament over the wife the husband the child the boss the mother the father the boyfriend the girlfriendwhomever it was they never wanted to see again or whom they would be willing to see again so long as the doctor was present and there was no shouting or violence or threats of violence or whom they missed horribly and could not live without and whom they would do anything to get back,each of them sat waiting a turn to denounce a parent to vilify a sibling to belittle a mate to vindicate or excoriate or pity themselves,routh
2177,2178,one or two of them who could still concentrateor pretend to concentrate or strain to concentrateon something other than the misery of their grievance would while waiting for the doctor leaf through a copy of time or sports illustrated or pick up the local paper and try to do the crossword puzzle,everybody else would be sitting there gloomily silent inwardly intense and rehearsing to themselvesin the lexicon of pop psychology or gutter obscenity or christian suffering or paranoid pathologythe ancient themes of dramatic literature incest betrayal injustice cruelty vengeance jealousy rivalry desire loss dishonor and grief,routh
2179,2180,she was an elfin paleskinned brunette with the bony frailty of a sickly girl of about a quarter her age,her name was sybil van buren,routh
2181,2182,in the eyes of the actor hers was a thirtyfiveyearold body that not only refused to be strong but dreaded even the appearance of strength,and yet for all her delicacy she had said to him on the way up the path to the main residence hall from art therapy will you eat dinner with me simon,routh
2183,2184,amazing,still some kind of wish in her not to be swallowed up,routh
2185,2186,or maybe she had asked to stay on at his side in the hope that with a little luck something would ignite between them that would complete the doing in of her,he was big enough for the job more than whale enough for a tiny bundle of flotsam like her,routh
2187,2188,even herewhere without assistance from the pharmacopoeia any show of stability let alone bravado was unlikely to quell for long the maelstrom of terror swirling back of the gullethe had not lost the loose swaggering gait of the ominous man that had once gone toward making him such an original othello,and so yes if there was still any hope for her of going completely under perhaps it lay in cozying up to him,routh
2189,2190,that is what he thought at the outset anyway,i had lived for so long in the constraints of caution sybil told him at dinner that first night,routh
2191,2192,the efficient housewife who gardens and sews and can repair everything and throws glorious dinner parties as well,the quiet steady loyal sidekick of the rich and powerful man with her unambiguous wholehearted oldfashioned devotion to the rearing of children,routh
2193,2194,the ordinary existence of an insignificant mortal,well i went off to go shopping for grocerieswhat could be more mundane than that,routh
2195,2196,why would anyone in the world have to worry about that,i had left my daughter playing out back in the yard and our little boy upstairs sleeping in his crib and my rich and powerful second husband watching a golf tournament on tv,routh
2197,2198,i turned around and came home because when i got to the supermarket i realized i had forgotten my wallet,the little one was still sleeping,routh
2199,2200,and in the living room the golf game was still going but my eightyearold daughter my little alison was sitting up on the sofa without her underpants and my rich and powerful second husband was kneeling on the floor his head between her plump little legs,what was he doing there,routh
2201,2202,what men do there,axler watched her cry and said nothing,routh
2203,2204,you have seen my artwork she finally told him,the sun shining down on a pretty house and the garden all in bloom,routh
2205,2206,you know me,everybody knows me,routh
2207,2208,i think the best of everything,i prefer it that way and so does everyone around me,routh
2209,2210,he got up off his knees completely unruffled and told me that she had been complaining about an itch and she would not stop scratching herself and so before she did herself any harm he had taken a look to be sure she was all right,and she was he assured me,routh
2211,2212,he could see nothing not a blemish not a sore not a rash,she was fine,routh
2213,2214,good i said,i came back for my wallet,routh
2215,2216,and instead of getting his hunting rifle from the basement and pumping him full of bullets i found my wallet in the kitchen said bye again everyone and went off to the store as if what i had witnessed was a commonplace occurrence,in a daze dumbfounded i filled two shopping carts,routh
2217,2218,i would have filled two more four more six more if the store manager had not seen me blubbering away and come over to ask if i was all right,he drove me home in his car,routh
2219,2220,i left our car in the lot there and was driven home,i could not negotiate the stairs,routh
2221,2222,i had to be carried up to bed,there i lay for four days unable to speak or eat barely able to drag myself to the bathroom,routh
2223,2224,the story was that i had come down with a fever and been ordered to bed,my rich and powerful second husband could not have been more solicitous,routh
2225,2226,my little darling alison sweetly brought me a vase of cut flowers from my garden,i could not ask her i could not bring myself to say who removed your underpants,routh
2227,2228,what do you want to tell me,if you really had some kind of itch you would have waited would not you until i came home from shopping to show me,routh
2229,2230,but dear if you did not have an itch,dear if there is something you are not telling me because you are afraid to,routh
2231,2232,,,routh
2233,2234,,but i was the one who was afraid,routh
2235,2236,i could not do it,by the fourth day i had convinced myself that i had imagined everything and two weeks later when alison was at school and he was at work and the little one was taking his nap i got out the wine and the valium and the plastic garbage bag,routh
2237,2238,but i could not stand suffocating,i panicked,routh
2239,2240,i took the pills and the wine but then i remember not getting any air and hurrying to rip the bag off,and i do not know what i regret more horriblyhaving tried to do it or having failed to do it,routh
2241,2242,all i want to do is shoot him,only now he is alone with them and i am here,routh
2243,2244,he is all alone with my sweet little girl,it ca not be,routh
2245,2246,i called my sister and asked her to stay at the house with them but he would not let her sleep there,he said there was no need,routh
2247,2248,and so she left,and what can i do,routh
2249,2250,i am here and alison is there,i was paralyzed,routh
2251,2252,i did nothing that i should have done,nothing that anyone would have done,routh
2253,2254,i should have rushed the child to the doctor,i should have called the police,routh
2255,2256,it was a criminal act,there are laws against such things,routh
2257,2258,instead i did nothing,but he said nothing had happened you see,routh
2259,2260,he says that i am hysterical that i am deluded that i am mad but i am not,i swear to you simon i am not mad,routh
2261,2262,i saw him doing it,that is horrible,routh
2263,2264,a horrible transgression axler said,i see why it is done what it did to you,routh
2265,2266,it is evil,i need someone she confided in a murmur to kill this evil man,routh
2267,2268,i am sure you could find a willing party,you,routh
2269,2270,asked sybil in a tiny voice,i had pay,routh
2271,2272,if i was a killer i would do it pro bono he said taking the hand she extended to him,people become infected with the rage when an innocent child is violated,routh
2273,2274,but i am an outofwork actor,i had botch the job and we had both go to jail,routh
2275,2276,oh what should i do,she asked him,routh
2277,2278,what would you do,get strong,routh
2279,2280,cooperate with the doctor and try to get strong as fast as you can so you can go home to your children,you believe me do not you,routh
2281,2282,i am sure you saw what you saw,can we have dinner together,routh
2283,2284,for as long as i am here he said,i knew in art therapy that you had understand,routh
2285,2286,there is so much suffering in your eyes,within months of his leaving the hospital his wife is son died of an overdose and the marriage of the occupationless dancer to the occupationless actor ended in divorce completing yet one more of the many millions of stories of unhappily entwined men and women,routh
2287,2288,one day around noon a black town car pulled into the driveway and parked beside the barn,it was a chauffeurdriven mercedes and the small whitehaired man who stepped out of the back seat was jerry oppenheim his agent,routh
2289,2290,after the hospital internment jerry had phoned him every week from new york to see how he was doing but many months had gone by without their speakingthe actor having chosen at one point to stop taking the agent is calls along with most everyone else isand the visit was unexpected,he watched jerry who was over eighty and walked cautiously negotiate the stone path to the front door a package in one hand and flowers in the other,routh
2291,2292,he opened the door before jerry even had a chance to knock,suppose i had not been home,routh
2293,2294,he said helping jerry over the sill,i took my chances jerry said smiling gently,routh
2295,2296,he had a gentle face altogether and a courteous demeanor that did not however compromise his tenacity in behalf of his clients,well you seem all right physically at least,routh
2297,2298,except for that hopeless look on your face simon you do not look bad at all,and youneat as a pin axler said having himself neither changed his clothes nor shaved for days,routh
2299,2300,i brought you flowers,i brought us a box lunch from dean and deluca,routh
2301,2302,have you had lunch,he had not even had breakfast so he merely shrugged and took the gifts and helped jerry out of his coat,routh
2303,2304,you drove up from new york he said,yes,routh
2305,2306,to see how you are doing and talk to you facetoface,i have news for you,routh
2307,2308,the guthrie is doing long day is journey,they called to ask about you,routh
2309,2310,why me,i ca not act jerry and everyone knows it,routh
2311,2312,nobody knows any such thing,perhaps people know that you had an emotional setback but that does not set you apart from the human race,routh
2313,2314,they are doing the play next winter,it gets awfully cold out there but you had be a wonderful james tyrone,routh
2315,2316,james tyrone is a lot of lines that you have to say and i ca not say them,james tyrone is a character that you have to be and i ca not be him,routh
2317,2318,there is no way i can play james tyrone,i ca not play anyone,routh
2319,2320,look you took a tumble in washington,that happens to practically everyone sooner or later,routh
2321,2322,there is no ironclad security in any art,people run into an obstacle for reasons no one knows,routh
2323,2324,but the obstacle is a temporary impediment,the obstacle disappears and you go on,routh
2325,2326,there is not a firstrate actor who has not felt discouraged and that his career was over and that he was unable to come out of the bad period he was in,there is not an actor who has not gone up in the middle of a speech and not known where he was,routh
2327,2328,but every time you go out on the stage there is a new chance,actors can recover their talent,routh
2329,2330,you do not lose the skills if you have been out there for forty years,you still know how to enter and sit down in a chair,routh
2331,2332,john gielgud used to say that there were times he wished he were like a painter or a writer,then he could retrieve the bad performance he gave that evening and take it out at midnight and redo it,routh
2333,2334,but he could not,he had to do it there,routh
2335,2336,gielgud went through a very bad time when he could do nothing right,so did olivier,routh
2337,2338,olivier went through a terrible period,he had a terrible problem,routh
2339,2340,he could not look any of the other actors in the eye,he told the other actors please do not look at me because it will throw me,routh
2341,2342,for a while he could not be alone on the stage,he said to the other actors  hado not leave me alone out there,routh
2343,2344,i know the stories jerry,i have heard them all,routh
2345,2346,they do not have to do with me,in the past i never had more than two or three bad nights when i could not recover,routh
2347,2348,for two or three nights i would think i know i am good i am just not doing it,maybe nobody in the audience knew it but i knew itit was not there,routh
2349,2350,and on those nights when it is not there for you it is a labor i know that and yet somehow you get by,you can get very good at getting by on what you get by on when you do not have anything else,routh
2351,2352,but that is something different entirely,when i had a truly wretched performance i would lie awake all night afterward thinking i have lost it i have no talent i ca not do anything,routh
2353,2354,hours would go by but then all of a sudden at five or six in the morning i had understand what went wrong and i could not wait to get to the theater that evening and go on,and i had go on and i could not make a mistake,routh
2355,2356,a beautiful feeling,there are days when you ca not wait to get there when the marriage between you and the role is perfect and there is never a time when you are not happy to sail out onto the stage,routh
2357,2358,those are important days,and for years i had them one after the other,routh
2359,2360,well that is over,now if i were to go out on the stage i would not know what i was out there for,routh
2361,2362,would not know where to begin,in the old days i had do three hours of preparation in the theater for an eight oclock curtain,routh
2363,2364,by eight i was deeply inside that roleit was like a trance like a useful trance,in the family reunion i was in the theater two and a half hours before the first entrance working up to how to enter when you are pursued by the furies,routh
2365,2366,that was hard for me but i did it,you can do it again jerry said,routh
2367,2368,you are forgetting who you are and what you have achieved,your life has hardly come to nothing,routh
2369,2370,endlessly you would do things on the stage in a way i never expected and over the years that was thrilling thousands of times for the audience and always thrilling for me,you went as far away as possible from the obvious thing that any other actor would do,routh
2371,2372,you could not be routine,you wanted to go everywhere,routh
2373,2374,out out out as far out as you could go,and the audience believed in you in every moment wherever you took them,routh
2375,2376,sure nothing is permanently established but so is nothing permanently lost,your talent is been mislaid that is all,routh
2377,2378,no it is gone jerry,i ca not do any of it again,routh
2379,2380,you are either free or you are not,you are either free and it is genuine it is real it is alive or it is nothing,routh
2381,2382,i am not free anymore,okay let is have some lunch then,routh
2383,2384,and put the flowers in some water,the house looks fine,routh
2385,2386,you look fine,a little too slimmed down i would say but you still look like yourself,routh
2387,2388,you are eating i hope,i eat,routh
2389,2390,but when they sat down to lunch in the kitchen with the flowers in a vase between them axler was unable to eat,he saw himself stepping out on the stage to play james tyrone and the audience bursting into laughter,routh
2391,2392,the anxiety and fear were as naked as that,people would laugh at him because it was him,routh
2393,2394,what do you do with the days,jerry asked,routh
2395,2396,walk,sleep,routh
2397,2398,stare into space,try to read,routh
2399,2400,try to forget myself for at least one minute of each hour,i watch the news,routh
2401,2402,i am up to date on the news,who do you see,routh
2403,2404,you,this is no way for someone of your accomplishment to live,routh
2405,2406,you were kind to come all the way out here jerry but i ca not do the play at the guthrie,i am finished with all that,routh
2407,2408,you are not,you are scared of failing,routh
2409,2410,but that is behind you,you do not realize how onesided and monomaniacal your perspective has become,routh
2411,2412,did i write the reviews,did this monomaniac write those reviews,routh
2413,2414,did i write what they wrote about my macbeth,i was ludicrous and they said as much,routh
2415,2416,i would just think i got through that line thank god i got through that line,i would try to think that was not as bad as last night when in fact it was worse,routh
2417,2418,everything i did was false raucous,i heard this horrible tone in my voice and yet nothing could stop me from fucking up,routh
2419,2420,hideous,hideous,routh
2421,2422,i never gave a good performance not one,so you could not do macbeth to your satisfaction,routh
2423,2424,well you are not the first,he is a horrible person for an actor to live with,routh
2425,2426,i defy anyone to play him and not be warped by the effort,he is a murderer he is a killer,routh
2427,2428,everything is magnified in that play,frankly i never understood all that evil,routh
2429,2430,forget macbeth,forget those reviews jerry said,routh
2431,2432,it is time to move on,you should come down to new york and begin to work in his studio with vincent daniels,routh
2433,2434,you wo not be the first whose confidence he is restored,look you have done all that tough stuff shakespeare the classicsthere is no way this can happen to you with your biography,routh
2435,2436,it is a momentary loss of confidence,it is not a matter of confidence replied axler,routh
2437,2438,i always had a sneaking suspicion that i have no talent whatsoever,well that is nonsense,routh
2439,2440,that is the depression talking,you hear actors saying it a lot when they are down the way you are,routh
2441,2442,i do not have any real talent,i can memorize the lines,routh
2443,2444,that is about it,i have heard it a thousand times,routh
2445,2446,no listen to me,when i was fully honest with myself i had think okay all right i have a modicum of talent or i can at least imitate a talented person,routh
2447,2448,but it was all a fluke jerry a fluke that a talent was given to me a fluke that it was taken away,this life is a fluke from start to finish,routh
2449,2450,oh stop this simon,you can still hold attention the way a big star actor does on the stage,routh
2451,2452,you are a titan for god is sake,no it is a matter of falseness sheer falseness so pervasive that all i can do is stand on the stage and tell the audience i am a liar,routh
2453,2454,and i ca not even lie well,i am a fraud,routh
2455,2456,and that is more nonsense,think for a moment of all the bad actorsthere are lots of them and they somehow get by,routh
2457,2458,so to tell me that simon axler jerry said with his talent ca not get by is absurd,i have seen you in the past times when you were not so happy times when you were in psychic torment in every other way but put a script in front of you allow you to access this thing that you do so wonderfully allow you to become another person and always it is been liberating for you,routh
2459,2460,well that is happened before and it can happen again,the love of what you do wellit can return and it will return,routh
2461,2462,look vincent daniels is an ace at dealing with problems like yours a tough canny intuitive teacher highly intelligent and a scrapper himself,i know his name he told jerry,routh
2463,2464,but i have never met him,i never had to meet him,routh
2465,2466,he is a maverick he is a scrapper and he will get you back to contending,he will put the fight back in you,routh
2467,2468,he will start from scratch if he has to,he will get you to give up everything you have done before if he must,routh
2469,2470,it will be a struggle but in the end he will get you back to where you should be,i have been to his studio and watched vincent work,routh
2471,2472,he says  hado one moment,we are only dealing with the single moment,routh
2473,2474,play the moment play whatever plays for you in that moment and then go on to the next moment,it does not matter where you are going,routh
2475,2476,do not worry about that,just take it moment moment moment moment,routh
2477,2478,the job is to be in that moment with no concern about the rest and no idea where you are going next,because if you can make one moment work you can go anywhere,routh
2479,2480,now it sounds i know like the simplest notion and that is why it is hardit is so simple that it is the thing that everybody misses,i believe that vincent daniels is the perfect man for you right now,routh
2481,2482,i have complete faith in him for you in your predicament,here is his card,routh
2483,2484,i came up here to give you this,jerry handed him the business card and so he took it at the same time that he said ca not do it,routh
2485,2486,what will you do instead,what will you do about all the roles you are ripe to play,routh
2487,2488,it breaks my heart when i think of all those parts you were made for,if you accepted the role of james tyrone then you could work with vincent and find your way through it with him,routh
2489,2490,this is the work he does with actors every day,i ca not count the number of times at the tonys or the oscars that i heard the winning actor say i want to thank vincent daniels,routh
2491,2492,he is the best,in response axler simply shook his head,routh
2493,2494,look jerry said everyone knows the feeling i ca not do it everyone knows the feeling that they will be revealed to be falseit is every actor is terror,they have found me out,routh
2495,2496,i have been found out,let is face it there is a panic that comes with age,routh
2497,2498,i am that much older than you and i have been dealing with it for years,one you get slower,routh
2499,2500,in everything,even in reading you get slower,routh
2501,2502,if i go fast in reading now too much of it goes away,my speech is slower my memory is slower,routh
2503,2504,all these things start to happen,in the process you start to distrust yourself,routh
2505,2506,you are not as quick as you used to be,and especially if you are an actor,routh
2507,2508,you were a young actor and you memorized scripts one after the other after the other and you never even thought about it,it was just easy to do,routh
2509,2510,and then all of a sudden it is not as easy and things do not happen so fast anymore,memorizing becomes a big anxiety for stage actors going into their sixties and seventies,routh
2511,2512,once you could memorize a script in a daynow you are lucky to memorize a page in a day,so you start to feel afraid to feel soft to feel that you do not have that raw live power anymore,routh
2513,2514,it scares you,with the result as you say that you are not free anymore,routh
2515,2516,there is nothing happeningand that is terrifying,jerry i ca not go on with this conversation,routh
2517,2518,we could talk all day and to no avail,you are good to come and see me and bring me lunch and flowers and to try to help me and encourage me and comfort me and make me feel better,routh
2519,2520,it was tremendously thoughtful,i am pleased to see you looking well,routh
2521,2522,but the momentum of a life is the momentum of a life,i am now incapable of acting,routh
2523,2524,something fundamental has vanished,maybe it had to,routh
2525,2526,things go,do not think that my career is been cut short,routh
2527,2528,think of how long i lasted,when i started out in college i was just fooling around you know,routh
2529,2530,acting was a chance to meet girls,then i took my first theatrical breath,routh
2531,2532,suddenly i was alive on the stage and breathing like an actor,i started young,routh
2533,2534,i was twentytwo and came to new york for an audition,and i got the part,routh
2535,2536,i began to take classes,sensememory exercises,routh
2537,2538,practice making things real,before your performance create a reality for yourself to step into,routh
2539,2540,i remember that when i began taking class we had have a pretend teacup and pretend to drink from it,how hot is it how full is it is there a saucer is there a spoon are you going to put sugar in it how many lumps,routh
2541,2542,and then you sip it and others were transported by this stuff but i never found any of it helpful,what is more i could not do it,routh
2543,2544,i was no good at the exercises no good at all,i had try to do this stuff and it never would work,routh
2545,2546,everything i did well was coming out of instinct and doing those exercises and knowing those things were making me look like an actor,i would look ridiculous as i held my pretend teacup and pretended to drink from it,routh
2547,2548,there was always a sly voice inside me saying there is no teacup,well that sly voice has now taken over,routh
2549,2550,no matter how i prepare and what i attempt to do once i am on the stage there is that sly voice all the timethere is no teacup,jerry it is over i can no longer make a play real for people,routh
2551,2552,i can no longer make a role real for myself,after jerry had left axler went into his study and found his copy of long day is journey into night,routh
2553,2554,he tried to read it but the effort was unbearable,he did not get beyond page 4he put vincent daniels is card there as a bookmark,routh
2555,2556,at the kennedy center it was as though he had never acted before and now it was as though he had never read a play beforeas though he had never read this play before,the sentences unfolded without meaning,routh
2557,2558,he could not keep straight who was speaking the lines,sitting there amid his books he tried to remember plays in which there is a character who commits suicide,routh
2559,2560,hedda in hedda gabler julie in miss julie phaedra in hippolytus jocasta in oedipus the king almost everyone in antigone willy loman in death of a salesman joe keller in all my sons don parritt in the iceman cometh simon stimson in our town ophelia in hamlet othello in othello cassius and brutus in julius caesar goneril in king lear antony cleopatra enobarbus and charmian in antony and cleopatra the grandfather in awake and sing,ivanov in ivanov konstantin in the seagull,routh
2561,2562,and this astonishing list was only of plays in which he had at one time performed,there were more many more,routh
2563,2564,what was remarkable was the frequency with which suicide enters into drama as though it were a formula fundamental to the drama not necessarily supported by the action as dictated by the workings of the genre itself,deirdre in deirdre of the sorrows hedvig in the wild duck rebecca west in rosmersholm christine and orin in mourning becomes electra both romeo and juliet sophocles ajax,routh
2565,2566,suicide is a subject dramatists have been contemplating with awe since the fifth century b,c,routh
2567,2568,beguiled by the human beings who are capable of generating emotions that can inspire this most extraordinary act,he should set himself the task of rereading these plays,routh
2569,2570,yes everything gruesome must be squarely faced,nobody should be able to say that he did not think it through,routh
2571,2572,jerry had brought a manila envelope containing a handful of mail addressed to him in care of the oppenheim agency,there was a time when a dozen letters from fans would come to him that way every couple of weeks,routh
2573,2574,now these few were all that had arrived at jerry is during the past half year,he sat in the living room idly tearing the envelopes open reading each letter is first few lines and then balling the page up and throwing it onto the floor,routh
2575,2576,they were all requests for autographed photosall but one which took him by surprise and which he read in its entirety,i do not know if you will remember me the letter began,routh
2577,2578,i was a patient at hammerton,i had dinner with you several times,routh
2579,2580,we were in art therapy together,maybe you wo not remember me,routh
2581,2582,i have just finished watching a latenight movie on tv and to my amazement you were in it,you were playing a hardened criminal,routh
2583,2584,it was so startling to see you on the screen especially in such a menacing role,how different from the man i met,routh
2585,2586,i remember telling you my story,i remember how you listened to me meal after meal,routh
2587,2588,i could not stop talking,i was in agony,routh
2589,2590,i thought my life was over,i wanted it to be over,routh
2591,2592,you may not know it but your listening to my story the way you did contributed to my getting through back then,not that it is been easy,routh
