qd1,qd2,question1,question2,label
1529,1530,or yours,or mine,faulkner
1531,1532,you take luster outen that bed mammy,frony said,faulkner
1533,1534,that boy conjure him,hush your mouth,faulkner
1535,1536,dilsey said,aint you got no better sense than that,faulkner
1537,1538,what you want to listen to roskus for anyway,get in benjy,faulkner
1539,1540,dilsey pushed me and i got in the bed where luster already was,he was asleep,faulkner
1541,1542,dilsey took a long piece of wood and laid it between luster and me,stay on your side now,faulkner
1543,1544,dilsey said,luster little and you dont want to hurt him,faulkner
1545,1546,you cant go yet t,p,faulkner
1547,1548,said,wait,faulkner
1549,1550,we looked around the corner of the house and watched the carriages go away,now,faulkner
1551,1552,t,p,faulkner
1553,1554,said,he took quentin up and we ran down to the corner of the fence and watched them pass,faulkner
1555,1556,there he go,t,faulkner
1557,1558,p,said,faulkner
1559,1560,see that one with the glass in it,look at him,faulkner
1561,1562,he laying in there,see him,faulkner
1563,1564,come on luster said i going to take this here ball down home where i wont lose it,naw sir you cant have it,faulkner
1565,1566,if them men sees you with it they will say you stole it,hush up now,faulkner
1567,1568,you cant have it,what business you got with it,faulkner
1569,1570,you cant play no ball,frony and t,faulkner
1571,1572,p,were playing in the dirt by the door,faulkner
1573,1574,t,p,faulkner
1575,1576,had lightning bugs in a bottle,how did you all get back out,faulkner
1577,1578,frony said,we have got company,faulkner
1579,1580,caddy said,father said for us to mind me tonight,faulkner
1581,1582,i expect you and t,p,faulkner
1583,1584,will have to mind me too,i am not going to mind you,faulkner
1585,1586,jason said,frony and t,faulkner
1587,1588,p,dont have to either,faulkner
1589,1590,they will if i say so,caddy said,faulkner
1591,1592,maybe i wont say for them to,t,faulkner
1593,1594,p,dont mind nobody,faulkner
1595,1596,frony said,is they started the funeral yet,faulkner
1597,1598,what is a funeral,jason said,faulkner
1599,1600,did not mammy tell you not to tell them,versh said,faulkner
1601,1602,where they moans,frony said,faulkner
1603,1604,they moaned two days on sis beulah clay,they moaned at dilsey is house,faulkner
1605,1606,dilsey was moaning,when dilsey moaned luster said hush and we hushed and then i began to cry and blue howled under the kitchen steps,faulkner
1607,1608,then dilsey stopped and we stopped,oh,faulkner
1609,1610,caddy said,that is niggers,faulkner
1611,1612,white folks dont have funerals,mammy said us not to tell them frony,faulkner
1613,1614,versh said,tell them what,faulkner
1615,1616,caddy said,dilsey moaned and when it got to the place i began to cry and blue howled under the steps,faulkner
1617,1618,luster frony said in the window,take them down to the barn,faulkner
1619,1620,i cant get no cooking done with all that racket,that hound too,faulkner
1621,1622,get them outen here,i aint going down there luster said,faulkner
1623,1624,i might meet pappy down there,i seen him last night waving his arms in the barn,faulkner
1625,1626,i like to know why not,frony said,faulkner
1627,1628,white folks dies too,your grandmammy dead as any nigger can get i reckon,faulkner
1629,1630,dogs are dead,caddy said,faulkner
1631,1632,and when nancy fell in the ditch and roskus shot her and the buzzards came and undressed her,the bones rounded out of the ditch where the dark vines were in the black ditch into the moonlight like some of the shapes had stopped,faulkner
1633,1634,then they all stopped and it was dark and when i stopped to start again i could hear mother and feet walking fast away and i could smell it,then the room came but my eyes went shut,faulkner
1635,1636,i did not stop,i could smell it,faulkner
1637,1638,t,p,faulkner
1639,1640,unpinned the bed clothes,hush,faulkner
1641,1642,he said,shhhhhhhh,faulkner
1643,1644,but i could smell it,t,faulkner
1645,1646,p,pulled me up and he put on my clothes fast,faulkner
1647,1648,hush benjy,he said,faulkner
1649,1650,we going down to our house,you want to go down to our house where frony is,faulkner
1651,1652,hush,shhhhh,faulkner
1653,1654,he laced my shoes and put my cap on and we went out,there was a light in the hall,faulkner
1655,1656,across the hall we could hear mother,shhhhhh benjy,faulkner
1657,1658,t,p,faulkner
1659,1660,said,we will be out in a minute,faulkner
1661,1662,a door opened and i could smell it more than ever and a head came out,it was not father,faulkner
1663,1664,father was sick there,can you take him out of the house,faulkner
1665,1666,that is where we going,t,faulkner
1667,1668,p,said,faulkner
1669,1670,dilsey came up the stairs,hush,faulkner
1671,1672,she said,hush,faulkner
1673,1674,take him down home t,p,faulkner
1675,1676,frony fixing him a bed,you all look after him now,faulkner
1677,1678,hush benjy,go on with t,faulkner
1679,1680,p,she went where we could hear mother,faulkner
1681,1682,better keep him there,it was not father,faulkner
1683,1684,he shut the door but i could still smell it,we went down stairs,faulkner
1685,1686,the stairs went down into the dark and t,p,faulkner
1687,1688,took my hand and we went out the door out of the dark,dan was sitting in the back yard howling,faulkner
1689,1690,he smell it,t,faulkner
1691,1692,p,said,faulkner
1693,1694,is that the way you found it out,we went down the steps where our shadows were,faulkner
1695,1696,i forgot your coat,t,faulkner
1697,1698,p,said,faulkner
1699,1700,you ought to had it,but i aint going back,faulkner
1701,1702,dan howled,hush now,faulkner
1703,1704,t,p,faulkner
1705,1706,said,our shadows moved but dan is shadow did not move except to howl when he did,faulkner
1707,1708,i cant take you down home bellering like you is,t,faulkner
1709,1710,p,said,faulkner
1711,1712,you was bad enough before you got that bullfrog voice,come on,faulkner
1713,1714,we went along the brick walk with our shadows,the pig pen smelled like pigs,faulkner
1715,1716,the cow stood in the lot chewing at us,dan howled,faulkner
1717,1718,you going to wake the whole town up,t,faulkner
1719,1720,p,said,faulkner
1721,1722,cant you hush,we saw fancy eating by the branch,faulkner
1723,1724,the moon shone on the water when we got there,naw sir,faulkner
1725,1726,t,p,faulkner
1727,1728,said,this too close,faulkner
1729,1730,we cant stop here,come on,faulkner
1731,1732,now just look at you,got your whole leg wet,faulkner
1733,1734,come on here,dan howled,faulkner
1735,1736,the ditch came up out of the buzzing grass,the bones rounded out of the black vines,faulkner
1737,1738,now,t,faulkner
1739,1740,p,said,faulkner
1741,1742,belier your head off if you want to,you got the whole night and a twenty acre pasture to belier in,faulkner
1743,1744,t,p,faulkner
1745,1746,lay down in the ditch and i sat down watching the bones where the buzzards ate nancy flapping hlack and slow and heavy out of the ditch,i had it when we was down here before luster said,faulkner
1747,1748,i showed it to you,did not you see it,faulkner
1749,1750,i took it out of my pocket right here and showed it to you,do you think buzzards are going to undress damuddy,faulkner
1751,1752,caddy said,you are crazy,faulkner
1753,1754,you are a skizzard,jason said,faulkner
1755,1756,he began to cry,you are a knobnut,faulkner
1757,1758,caddy said,jason cried,faulkner
1759,1760,his hands were in his pockets,jason going to be rich man,faulkner
1761,1762,versh said,he holding his money all the time,faulkner
1763,1764,jason cried,now you have got him started,faulkner
1765,1766,caddy said,hush up jason,faulkner
1767,1768,how can buzzards get in where damuddy is,father would not let them,faulkner
1769,1770,would you let a buzzard undress you,hush up now,faulkner
1771,1772,jason hushed,frony said it was a funeral,faulkner
1773,1774,he said,well it is not,faulkner
1775,1776,caddy said,it is a party,faulkner
1777,1778,frony dont know anything about it,he wants your lightning bugs t,faulkner
1779,1780,p,let him hold it a while,faulkner
1781,1782,t,p,faulkner
1783,1784,gave me the bottle of lightning bugs,i bet if we go around to the parlor window we can see something,faulkner
1785,1786,caddy said,then you will believe me,faulkner
1787,1788,i already knows,frony said,faulkner
1789,1790,i dont need to see,you better hush your mouth frony,faulkner
1791,1792,versh said,mammy going whip you,faulkner
1793,1794,what is it,caddy said,faulkner
1795,1796,i knows what i knows,frony said,faulkner
1797,1798,come on,caddy said,faulkner
1799,1800,let is go around to the front,we started to go,faulkner
1801,1802,t p,wants his lightning bugs,faulkner
1803,1804,frony said,let him hold it a while longer t,faulkner
1805,1806,p,caddy said,faulkner
1807,1808,we will bring it back,you all never caught them,faulkner
1809,1810,frony said,if i say you and t,faulkner
1811,1812,p,can come too will you let him hold it,faulkner
1813,1814,caddy said,aint nobody said me and t,faulkner
1815,1816,p,got to mind you,faulkner
1817,1818,frony said,if i say you dont have to will you let him hold it,faulkner
1819,1820,caddy said,all right,faulkner
1821,1822,frony said,let him hold it t,faulkner
1823,1824,p,we going to watch them moaning,faulkner
1825,1826,they aint moaning,caddy said,faulkner
1827,1828,i tell you it is a party,are they moaning versh,faulkner
1829,1830,we aint going to know what they doing standing here,versh said,faulkner
1831,1832,come on,caddy said,faulkner
1833,1834,frony and t,p,faulkner
1835,1836,dont have to mind me,but the rest of us do,faulkner
1837,1838,you better carry him versh,it is getting dark,faulkner
1839,1840,versh took me up and we went on around the kitchen,when we looked around the corner we could see the lights coming up the drive,faulkner
1841,1842,t,p,faulkner
1843,1844,went back to the cellar door and opened it,you know what is down there t,faulkner
1845,1846,p,said,faulkner
1847,1848,soda water,i seen mr jason come up with both hands full of them,faulkner
1849,1850,wait here a minute,t,faulkner
1851,1852,p,went and looked in the kitchen door,faulkner
1853,1854,dilsey said what are you peeping in here for,where is benjy,faulkner
1855,1856,he out here t,p,faulkner
1857,1858,said,go on and watch him dilsey said,faulkner
1859,1860,keep him out the house now,yessum t,faulkner
1861,1862,p,said,faulkner
1863,1864,is they started yet,you go on and keep that boy out of sight dilsey said,faulkner
1865,1866,i got all i can tend to,a snake crawled out from under the house,faulkner
1867,1868,jason said he was not afraid of snakes and caddy said he was but she was not and versh said they both were and caddy said to be quiet like father said,you aint got to start bellering now t,faulkner
1869,1870,p,said,faulkner
1871,1872,you want some this sassprilluh,it tickled my nose and eyes,faulkner
1873,1874,if you aint going to drink it let me get to it t,p,faulkner
1875,1876,said,all right here tis,faulkner
1877,1878,we better get another bottle while aint nobody bothering us,you be quiet now,faulkner
1879,1880,we stopped under the tree by the parlor window,versh set me down in the wet grass,faulkner
1881,1882,it was cold,there were lights in all the windows,faulkner
1883,1884,that is where damuddy is,caddy said,faulkner
1885,1886,she is sick every day now,when she gets well we are going to have a picnic,faulkner
1887,1888,i knows what i knows,frony said,faulkner
1889,1890,the trees were buzzing and the grass,the one next to it is where we have the measles,faulkner
1891,1892,caddy said,where do you and t,faulkner
1893,1894,p,have the measles frony,faulkner
1895,1896,has them just wherever we is i reckon,frony said,faulkner
1897,1898,they have not started yet,caddy said,faulkner
1899,1900,they getting ready to start t,p,faulkner
1901,1902,said,you stand right here now while i get that box so we can see in the window,faulkner
1903,1904,here les finish drinking this here sassprilluh,it make me feel just like a squinch owl inside,faulkner
1905,1906,we drank the sassprilluh and t,p,faulkner
1907,1908,pushed the bottle through the lattice under the house and went away,i could hear them in the parlor and i clawed my hands against the wall,faulkner
1909,1910,t,p,faulkner
1911,1912,dragged the box,he fell down and he began to laugh,faulkner
1913,1914,he lay there laughing into the grass,he got up and dragged the box under the window trying not to laugh,faulkner
1915,1916,i skeered i going to holler,t,faulkner
1917,1918,p,said,faulkner
1919,1920,git on the box and see is they started,they have not started because the band has not come yet,faulkner
1921,1922,caddy said,they aint going to have no band,faulkner
1923,1924,frony said,how do you know,faulkner
1925,1926,caddy said,i knows what i knows,faulkner
1927,1928,frony said,you dont know anything,faulkner
1929,1930,caddy said,she went to the tree,faulkner
1931,1932,push me up versh,your paw told you to stay out that tree,faulkner
1933,1934,versh said,that was a long time ago,faulkner
1935,1936,caddy said,i expect he is forgotten about it,faulkner
1937,1938,besides he said to mind me tonight,did not he did not he say to mind me tonight,faulkner
1939,1940,i am not going to mind you,jason said,faulkner
1941,1942,frony and t,p,faulkner
1943,1944,are not going to either,push me up versh,faulkner
1945,1946,caddy said,all right,faulkner
1947,1948,versh said,you the one going to get whipped,faulkner
1949,1950,i aint,he went and pushed caddy up into the tree to the first limb,faulkner
1951,1952,we watched the muddy bottom of her drawers,then we could not see her,faulkner
1953,1954,we could hear the tree thrashing,mr jason said if you break that tree he whip you,faulkner
1955,1956,versh said,i am going to tell on her too,faulkner
1957,1958,jason said,the tree quit thrashing,faulkner
1959,1960,we looked up into the still branches,what you seeing,faulkner
1961,1962,frony whispered,i saw them,faulkner
1963,1964,then i saw caddy with flowers in her hair and a long veil like shining wind,caddy caddy hush,faulkner
1965,1966,t,p,faulkner
1967,1968,said,they going to hear you,faulkner
1969,1970,get down quick,he pulled me,faulkner
1971,1972,caddy,i clawed my hands against the wall caddy,faulkner
1973,1974,t,p,faulkner
1975,1976,pulled me,hush,faulkner
1977,1978,he said,hush,faulkner
1979,1980,come on here quick,he pulled me on,faulkner
1981,1982,caddy hush up benjy,you want them to hear you,faulkner
1983,1984,come on les drink some more sassprilluh then we can come back if you hush,we better get one more bottle or we both be hollering,faulkner
1985,1986,we can say dan drank it,mr quentin always saying he so smart we can say he sassprilluh dog too,faulkner
1987,1988,the moonlight came down the cellar stairs,we drank some more sassprilluh,faulkner
1989,1990,you know what i wish,t,faulkner
1991,1992,p,said,faulkner
1993,1994,i wish a bear would walk in that cellar door,you know what i do,faulkner
1995,1996,i walk right up to him and spit in he eye,gimme that bottle to stop my mouth before i holler,faulkner
1997,1998,t,p,faulkner
1999,2000,fell down,he began to laugh and the cellar door and the moonlight jumped away and something hit me,faulkner
2001,2002,he had lost his magic,the impulse was spent,routh
2003,2004,he had never failed in the theater everything he had done had been strong and successful and then the terrible thing happened he could not act,going onstage became agony,routh
2005,2006,instead of the certainty that he was going to be wonderful he knew he was going to fail,it happened three times in a row and by the last time nobody was interested nobody came,routh
2007,2008,he could not get over to the audience,his talent was dead,routh
2009,2010,of course if you have had it you always have something unlike anyone else is,i will always be unlike anyone else axler told himself because i am who i am,routh
2011,2012,i carry that with methat people will always remember,but the aura he had had all his mannerisms and eccentricities and personal peculiarities what had worked for falstaff and peer gynt and vanyawhat had gained simon axler his reputation as the last of the best of the classical american stage actorsnone of it worked for any role now,routh
2013,2014,all that had worked to make him himself now worked to make him look like a lunatic,he was conscious of every moment he was on the stage in the worst possible way,routh
2015,2016,in the past when he was acting he was not thinking about anything,what he did well he did out of instinct,routh
2017,2018,now he was thinking about everything and everything spontaneous and vital was killedhe tried to control it with thinking and instead he destroyed it,all right axler told himself he had hit a bad period,routh
2019,2020,though he was already in his sixties maybe it would pass while he was still recognizably himself,he would not be the first experienced actor to go through it,routh
2021,2022,a lot of people did,i have done this before he thought so i will find some way,routh
2023,2024,i do not know how i am going to get it this time but i will find itthis will pass,it did not pass,routh
2025,2026,he could not act,the ways he could once rivet attention on the stage,routh
2027,2028,and now he dreaded every performance and dreaded it all day long,he spent the entire day thinking thoughts he had never thought before a performance in his life i wo not make it i wo not be able to do it i am playing the wrong roles i am overreaching i am faking i have no idea even of how to do the first line,routh
2029,2030,and meanwhile he tried to occupy the hours doing a hundred seemingly necessary things to prepare i have to look at this speech again i have to rest i have to exercise i have to look at that speech again and by the time he got to the theater he was exhausted,and dreading going out there,routh
2031,2032,he would hear the cue coming closer and closer and know that he could not do it,he waited for the freedom to begin and the moment to become real he waited to forget who he was and to become the person doing it but instead he was standing there completely empty doing the kind of acting you do when you do not know what you are doing,routh
2033,2034,he could not give and he could not withhold he had no fluidity and he had no reserve,acting became a nightafternight exercise in trying to get away with something,routh
2035,2036,it had started with people speaking to him,he could not have been more than three or four when he was already mesmerized by speaking and being spoken to,routh
2037,2038,he had felt he was in a play from the outset,he could use intensity of listening concentration as lesser actors used fireworks,routh
2039,2040,he had that power offstage too particularly when younger with women who did not realize that they had a story until he revealed to them that they had a story a voice and a style belonging to no other,they became actresses with axler they became the heroines of their own lives,routh
2041,2042,few stage actors could speak and be spoken to the way he could yet he could do neither anymore,the sound that used to go into his ear felt as though it were going out and every word he uttered seemed acted instead of spoken,routh
2043,2044,the initial source in his acting was in what he heard his response to what he heard was at the core of it and if he could not listen could not hear he had nothing to go on,he was asked to play prospero and macbeth at the kennedy centerit was hard to think of a more ambitious double billand he failed appallingly in both but especially as macbeth,routh
2045,2046,he could not do lowintensity shakespeare and he could not do highintensity shakespeareand he had been doing shakespeare all his life,his macbeth was ludicrous and everyone who saw it said as much and so did many who had not seen it,routh
2047,2048,no they do not even have to have been there he said to insult you,a lot of actors would have turned to drink to help themselves out an old joke had it that there was an actor who would always drink before he went onstage and when he was warned you must not drink he replied what and go out there alone,routh
2049,2050,but axler did not drink and so he collapsed instead,his breakdown was colossal,routh
2051,2052,the worst of it was that he saw through his breakdown the same way he could see through his acting,the suffering was excruciating and yet he doubted that it was genuine which made it even worse,routh
2053,2054,he did not know how he was going to get from one minute to the next his mind felt as though it were melting he was terrified to be alone he could not sleep more than two or three hours a night he scarcely ate he thought every day of killing himself with the gun in the attica remington 870 pumpaction shotgun that he kept in the isolated farmhouse for selfdefenseand still the whole thing seemed to be an act a bad act,when you are playing the role of somebody coming apart it has organization and order when you are observing yourself coming apart playing the role of your own demise that is something else something awash with terror and fear,routh
2055,2056,he could not convince himself he was mad any more than he had been able to convince himself or anyone else he was prospero or macbeth,he was an artificial madman too,routh
2057,2058,the only role available to him was the role of someone playing a role,a sane man playing an insane man,routh
2059,2060,a stable man playing a broken man,a selfcontrolled man playing a man out of control,routh
2061,2062,a man of solid achievement of theatrical renowna large burly actor standing six feet four inches tall with a big bald head and the strong hairy body of a brawler with a face that could convey so much a decisive jaw and stern dark eyes and a sizable mouth he could twist every which way and a low commanding voice emanating from deep down that always had a little growl in it a man conscientiously on the grand scale who looked as if he could stand up to anything and easily fulfill all of a man is roles the embodiment of invulnerable resistance who looked to have absorbed into his being the egoism of a dependable giantplaying an insignificant mite,he screamed aloud when he awakened in the night and found himself still locked inside the role of the man deprived of himself his talent and his place in the world a loathsome man who was nothing more than the inventory of his defects,routh
2063,2064,in the mornings he hid in bed for hours but instead of hiding from the role he was merely playing the role,and when finally he got up all he could think about was suicide and not its simulation either,routh
2065,2066,a man who wanted to live playing a man who wanted to die,meanwhile prospero is most famous words would not let him be perhaps because he had so recently mangled them,routh
2067,2068,they repeated themselves so regularly in his head that they soon became a hubbub of sounds tortuously empty of meaning and pointing at no reality yet carrying the force of a spell full of personal significance,our revels now are ended,routh
2069,2070,these our actors  as i foretold you were all spirits and  are melted into air into thin air,he could do nothing to blot out thin air the two syllables that were chaotically repeated while he lay powerless in his bed in the morning and that had the aura of an obscure indictment even as they came to make less and less sense,routh
2071,2072,his whole intricate personality was entirely at the mercy of thin air,victoria axler is wife could no longer care for him and by now needed tending herself,routh
2073,2074,she would cry whenever she saw him at the kitchen table his head in his hands unable to eat the meal she had prepared,try something she begged but he ate nothing said nothing and soon victoria began to panic,routh
2075,2076,she had never seen him give way like this before not even eight years earlier when his elderly parents had died in an automobile crash with his father at the wheel,he wept then and he went on,routh
2077,2078,he always went on,he took the losses hard but the performance never faltered,routh
2079,2080,and when victoria was in turmoil it was he who kept her tough and got her through,there was always a drug drama with her errant son,routh
2081,2082,there was the permanent hardship of aging and the end of her career,so much disappointment but he was there and so she could bear it,routh
2083,2084,if only he were here now that the man on whom she had depended was gone,in the 1950s victoria powers had been balanchine is youngest favorite,routh
2085,2086,then she hurt her knee had an operation danced again hurt it again had another operation and by the time she was rehabilitated the second time round someone else was balanchine is youngest favorite,she never recovered her place,routh
2087,2088,there was a marriage the son a divorce a second marriage a second divorce and then she met and fell in love with simon axler who when he had first come from college two decades earlier to make a career on the new york stage used to go to the city center to see her dance not because he loved ballet but because of his youthful susceptibility to the capacity she had to stir him to lust through the pathway of the tenderest emotions she remained in his memory for years afterward as the very incarnation of erotic pathos,when they met as fortyyearolds in the late seventies it was a long time since anyone had asked her to perform though pluckily she went off every day to her workout at a local dance studio,routh
2089,2090,she had done all she could to keep herself fit and looking youthful but by then her pathos exceeded any ability she had ever had to master it artistically,after the kennedy center debacle and his unexpected collapse victoria fell apart and fled to california to be close to her son,routh
2091,2092,all at once axler was alone in the house in the country and terrified of killing himself,now there was nothing stopping him,routh
2093,2094,now he could go ahead and do what he had found himself unable to do while she was still there walk up the stairs to the attic load the gun put the barrel in his mouth and reach down with his long arms to pull the trigger,the gun as the sequel to the wife,routh
2095,2096,but once she had left he did not make it through the first hour alonedid not even go up the first flight of stairs toward the atticbefore he had phoned his doctor and asked him to arrange for his admission to a psychiatric hospital that very day,within only minutes the doctor had found him a place at hammerton a small hospital with a good reputation a few hours to the north,routh
2097,2098,he was there for twentysix days,once interviewed unpacked relieved of his sharps by a nurse and his valuables taken to the business office for safekeeping once alone and in the room assigned him he sat down on the bed and remembered role after role that he had played with absolute assurance since he had become a professional in his early twentieswhat had destroyed his confidence now,routh
2099,2100,what was he doing in this hospital room,a selftravesty had come into being who did not exist before a selftravesty grounded in nothing and he was that selftravesty and how had it happened,routh
2101,2102,was it purely the passage of time bringing on decay and collapse,was it a manifestation of aging,routh
2103,2104,his appearance was still impressive,his aims as an actor had not changed nor had his painstaking manner of preparation for a role,routh
2105,2106,there was no one more thorough and studious and serious no one who took better care of his talent or who better accommodated himself to the changing conditions of a career in the theater over so many decades,to cease so precipitously being the actor he wasit was inexplicable as though he had been disarmed of the weight and substance of his professional existence one night while he slept,routh
2107,2108,the ability to speak and be spoken to on a stagethat is what it came down to and that is what was gone,the psychiatrist he saw dr,routh
2109,2110,farr questioned whether what had befallen him could truly be causeless and in their twiceweekly sessions asked him to examine the circumstances of his life preceding the sudden onset of what the doctor described as a universal nightmare,by this he meant that the actor is misfortune in the theatergoing out on the stage and finding himself unable to perform the shock of that losswas the content of troubling dreams any number of people had about themselves people who unlike simon axler were not professional actors,routh
2111,2112,going out on the stage and being unable to perform was among the stock set of dreams that most every patient reported at one time or another,that and walking naked down a busy city street or being unprepared for a crucial exam or falling off a cliff or finding on the highway that your brakes do not work,routh
2113,2114,dr,farr asked axler to talk about his marriage about his parents death about his relations with his drugaddicted stepson his boyhood his adolescence his beginnings as an actor an older sister who had died of lupus when he was twenty,routh
2115,2116,the doctor wanted to hear in particular detail about the weeks and months leading up to his appearance at the kennedy center and to know if he remembered anything out of the ordinary large or small occurring during that period,axler worked hard to be truthful and thereby to reveal the origins of his conditionand with that to recover his powersbut as far as he could tell no cause for the universal nightmare presented itself in anything he said sitting across from the sympathetic and attentive psychiatrist,routh
2117,2118,and that made it all the more a nightmare,yet he talked to the doctor anyway each time he showed up,routh
2119,2120,why not,at a certain stage of misery you will try anything to explain what is going on with you even if you know it does not explain a thing and it is one failed explanation after another,routh
2121,2122,some twenty days into his stay at the hospital a night came when instead of waking at two or three and lying sleepless in the midst of his terror till dawn he slept right through until eight in the morning so late by hospital standards that a nurse had to come to his room to awaken him so that he could join the other patients for 745 breakfast in the dining hall and then begin the day which included group therapy art therapy a consultation with dr,farr and a session with the physical therapist who was doing her best to treat his perennial spinal pain,routh
2123,2124,every waking hour was filled with activities and appointments to prevent the patients from retiring to their rooms to lie depressed and miserable on their beds or to sit around with one another as a number of them did in the evenings anyway discussing the ways they had tried to kill themselves,several times he sat in the corner of the rec room with the small gang of suicidal patients and listened to them recalling the ardor with which they had planned to die and bemoaning how they had failed,routh
2125,2126,each of them remained immersed in the magnitude of his or her suicide attempt and the ignominy of having survived it,that people could really do it that they could control their own death was a source of fascination to them allit was their natural subject like boys talking about sports,routh
2127,2128,several described feeling something akin to the rush that a psychopath must get when he kills someone else sweeping over them when they attempted to kill themselves,a young woman said you seem to yourself and to everyone around you paralyzed and wholly ineffectual and yet you can decide to commit the most difficult act there is,routh
2129,2130,it is exhilarating,it is invigorating,routh
2131,2132,it is euphoric,yes said someone else there is a grim euphoria to it,routh
2133,2134,your life is falling apart it has no center and suicide is the one thing you can control,one elderly man a retired schoolteacher who had tried to hang himself in his garage gave them a lecture on the ways outsiders think about suicide,routh
2135,2136,the one thing that everyone wants to do with suicide is explain it,explain it and judge it,routh
2137,2138,it is so appalling for the people that are left behind that there has to be a way of thinking about it,some people think of it as an act of cowardice,routh
2139,2140,some people think of it as criminal as a crime against the survivors,another school of thought finds it heroic and an act of courage,routh
2141,2142,then there are the purists,the question for them is was it justified was there sufficient cause,routh
2143,2144,the more clinical point of view which is neither punitive nor idealizing is the psychologist is which attempts to describe the state of mind of the suicide what state of mind he was in when he did it,he went tediously on in this vein more or less every night as though he were not an anguished patient like the rest of them but a guest lecturer who had been brought in to elucidate the subject that obsessed them night and day,routh
2145,2146,one evening axler spoke upto perform he realized before his largest audience since he had given up acting,suicide is the role you write for yourself he told them,routh
2147,2148,you inhabit it and you enact it,all carefully stagedwhere they will find you and how they will find you,routh
2149,2150,then he added but one performance only,in their conversation everything private was revealed easily and shamelessly suicide seemed like a very huge aim and living a hateful condition,routh
2151,2152,among the patients he met there were some who knew him right off because of his handful of movies but they were too immersed in their own struggles to take much more notice of him than they did of anyone other than themselves,and the staff was too busy to be distracted for long by his theatrical renown,routh
2153,2154,he was all but unrecognizable in the hospital not only to others but to himself,from the moment that he had rediscovered the miracle of a night is sleep and had to be awakened for breakfast by the nurse he began to feel the dread subside,routh
2155,2156,they had given him one medication for depression that did not agree with him then a second and finally a third that caused no intolerable side effects but whether it did him any good he could not tell,he could not believe that his improvement had anything to do with pills or with psychiatric consultations or group therapy or art therapy all of which felt like empty exercises,routh
2157,2158,what continued to frighten him as the day of his discharge approached was that nothing that was happening to him seemed to have to do with anything else,as he had told dr,routh
2159,2160,farrand further convinced himself by having tried to the best of his ability to search for a cause during their sessionshe had lost his magic as an actor for no good reason and it was just as arbitrarily that the desire to end his life began to ebb at least for the time being,nothing has a good reason for happening he said to the doctor later that day,routh
2161,2162,you lose you gainit is all caprice,the omnipotence of caprice,routh
2163,2164,the likelihood of reversal,yes the unpredictable reversal and its power,routh
2165,2166,near the end of his stay he made a friend and each night they had dinner together she repeated her story to him,he had met her first in art therapy and after that they would sit across from each other at a table for two in the dining hall chatting like a couple on a date orgiven the thirtyyear age differencelike a father and daughter albeit about her suicide attempt,routh
2167,2168,the day they meta couple of days after her arrivalthere had been only the two of them in the art room along with the therapist who as though they were kindergarteners had handed each sheets of white paper and a box of crayons to play with and told them to draw whatever they wanted,all that was missing from the room he thought were the little tables and chairs,routh
2169,2170,to satisfy the therapist they worked in silence for fifteen minutes and then again for the sake of the therapist listened attentively to the response each offered to the other is drawing,she had drawn a house and a garden and he a picture of himself drawing a picture a picture he told the therapist when she asked him what he had done of a man who has broken down and who commits himself to a psychiatric hospital and goes to art therapy and is asked there by the therapist to draw a picture,routh
2171,2172,and suppose you were to give your picture a title simon,what would it be,routh
2173,2174,that is easy,what the hell am i doing here,routh
2175,2176,the five other patients scheduled to be at art therapy either were back on their beds unable to do anything except lie there and weep or as though an emergency had befallen them had rushed off without an appointment to their doctors offices and were sitting in the waiting room preparing to lament over the wife the husband the child the boss the mother the father the boyfriend the girlfriendwhomever it was they never wanted to see again or whom they would be willing to see again so long as the doctor was present and there was no shouting or violence or threats of violence or whom they missed horribly and could not live without and whom they would do anything to get back,each of them sat waiting a turn to denounce a parent to vilify a sibling to belittle a mate to vindicate or excoriate or pity themselves,routh
2177,2178,one or two of them who could still concentrateor pretend to concentrate or strain to concentrateon something other than the misery of their grievance would while waiting for the doctor leaf through a copy of time or sports illustrated or pick up the local paper and try to do the crossword puzzle,everybody else would be sitting there gloomily silent inwardly intense and rehearsing to themselvesin the lexicon of pop psychology or gutter obscenity or christian suffering or paranoid pathologythe ancient themes of dramatic literature incest betrayal injustice cruelty vengeance jealousy rivalry desire loss dishonor and grief,routh
2179,2180,she was an elfin paleskinned brunette with the bony frailty of a sickly girl of about a quarter her age,her name was sybil van buren,routh
2181,2182,in the eyes of the actor hers was a thirtyfiveyearold body that not only refused to be strong but dreaded even the appearance of strength,and yet for all her delicacy she had said to him on the way up the path to the main residence hall from art therapy will you eat dinner with me simon,routh
2183,2184,amazing,still some kind of wish in her not to be swallowed up,routh
2185,2186,or maybe she had asked to stay on at his side in the hope that with a little luck something would ignite between them that would complete the doing in of her,he was big enough for the job more than whale enough for a tiny bundle of flotsam like her,routh
2187,2188,even herewhere without assistance from the pharmacopoeia any show of stability let alone bravado was unlikely to quell for long the maelstrom of terror swirling back of the gullethe had not lost the loose swaggering gait of the ominous man that had once gone toward making him such an original othello,and so yes if there was still any hope for her of going completely under perhaps it lay in cozying up to him,routh
2189,2190,that is what he thought at the outset anyway,i had lived for so long in the constraints of caution sybil told him at dinner that first night,routh
