length,sentence
132,i did not say one of the thousand trivial thing with which the indomit womanblood ignor the man s world in which the blood kinsman show the courag or cowardic the folli or lust or fear for which hi fellow prais or crucifi him who came and crash a door and cri hi crime and vanish who for the fact that he wa still aliv wa just that much more shadowi than the abstract which we had nail into a shot heard onli by it echo a strang gaunt halfwild hors bridl and with empti saddl the saddl bag contain a pistol a worn clean shirt a lump of ironlik bread captur by a man four mile away and two day later while tri to forc the crib door in hi stabl
132,all of a sudden he discov not what he want to do but what he just had to do had to do it whether he want to or not becaus if he did not do it he knew that he could never live with himself for the rest of hi life never live with what all the men and women that had die to make him had left insid of him for him to pass on with all the dead one wait and watch to see if he wa go to do it right fix thing right so that he would be abl to look in the face not onli the old dead one but all the live one that would come after him when he would be one of the dead
132,he found out that she wa up to someth and he not onli did nt care he did nt even care that he did nt know what it wa he got older and found out that she had been shape and temper him to be the instrument for whatev it wa her hand wa implac for mayb came to believ or saw that she had trick him into receiv that shape and temper and did nt care about that too becaus probabl by that time he had learn that there were three thing and no more breath pleasur dark and without money there could be no pleasur and without pleasur it would not even be breath but mere protoplasm inhal and collaps of blind unorgan in a dark where light never began
131,not like a man who had been peac ill in bed and had recov to move with a sort of diffid and tent amaz in a world which he had believ himself on the point of surrend but like a man who had been through some solitari furnac experi which wa more than just fever like an explor ay who not onli had to face the normal hardship of the pursuit which he chose but wa overtaken by the ad and unforeseen handicap of the fever also and fought through it at enorm cost not so much physic as mental alon and unaid and not through blind instinct will to endur and surviv but to gain and keep to enjoy it the materi prize for which he accept the origin gambit
131,and on the four or five occas dure the year when ellen would bring the children in to spend the day at her father s the aunt that strong vindict consist woman who seem to have been twice the man that mr coldfield wa and who in veri truth wa not onli miss rosa s mother but her father too cast over these visit also that same atmospher of grim embattl conspiraci and allianc against the two adversari one of he could have held hi own or not had long sinc drawn in hi picquet and dismantl hi artilleri and retir into the impregn citadel of hi passiv rectitud and the probabl could have engag and even rout them but who did not even know that he wa an embattl foe
131,and it dire inde becaus now the pass negro servant go to work in white see her befor sunup gather green along garden fenc pull them through the fenc sinc she had no garden of her own no seed to plant one with no tool to work it with herself even if she had known complet how who had had onli the freshman year at garden and doubtless would not have work it if she had known reach through the garden fenc and gather veget though she would have been welcom to enter the garden and get them and they would have even done the gather and sent them to her sinc there were more peopl than judg benbow who would leav basket of provis on her front porch at night
131,not clyti who guard him as if he were a spanish virgin who even befor she could have even suspect that he would ever come there to live had interrupt hi first contact with a nigger and sent him back to the hous not judith who could have refus at ani time to let him sleep in that white child s bed in her room who even if she could not have reconcil herself to hi sleep on the floor could have forc clyti to take him into anoth bed with her who would have made a monk a celib of him perhap yet not a eunuch who may not have permit him to pass himself for a foreign yet who certainli would not have driven him to consort with negro
131,in the overcoat button awri over the bathrob he look huge and shapeless like a dishevel bear as he stare at quentin the southern whose blood ran quick to cool more suppl to compens for violent chang of temperatur perhap perhap mere nearer the surfac who sat hunch in hi chair hi hand thrust into hi pocket as if he were tri to hug himself warm between hi arm look somehow fragil and even wan in the lamplight the rosi glow which now had noth of warmth cozi in it while both their breath vapor faintli in the cold room where there wa now not two of them but four the two who breath not individu now yet someth both more and less than twin the heart and blood of youth
130,becaus the time now approach it wa even mr coldfield probabl admit that war wa unavoid when the destini of sutpen s famili which for twenti year now had been like a lake well from quiet spring into a quiet valley and spread rise almost impercept and in which the four member of it float in sunni suspens felt the first subterranean movement toward the outlet the gorg which would be the land s catastroph too and the four peac swimmer turn suddenli to face one anoth not yet with alarm or distrust but just alert feel the dark set none of them yet at that point where man look about at hi companion in disast and think when will i stop tri to save them and save onli myself
130,and who to say if it wa nt mayb the possibl of incest becaus who without a sister i do nt know about the other ha been in love and not discov the vain evanesc of the fleshli encount who ha not had to realiz that when the brief all is done you must retreat from both love and pleasur gather up your own rubbish and hat and pant and shoe which you drag through the retreat sinc the god condon and practis these and the dreami immeasur coupl which float oblivi abov the tramel and harri instant the wasnot is wa is a perquisit onli of ballooni and weightless eleph and whale but mayb if there were sin too mayb you would not be permit to escap uncoupl return
129,so for the first sixteen year of her life she live in that grim tight littl hous with the father whom she hate without know queer silent man whose onli companion and friend seem to have been hi conscienc and the onli thing he care about hi reput for probiti among hi fellow men that man who wa later to nail himself in hi attic and starv to death rather than look upon hi nativ land in the throe of repel an invad the aunt who even ten year later wa still take reveng for the fiasco of ellen s wed by strike at the town the human race through ani and all of it creatur brother niec nephewinlaw herself and the blind irrat furi of a shed snake
129,that wa i i wa there someth of me walk in measur cadenc with the measur tread of jone and hi companion and theophilu mccaslin who had heard the news somehow back in town and clyti as we bore the awkward and unmanag box past the stair s close turn while judith follow steadi it from behind and so down and out to the wagon someth of me help to rais that which it could not have rais alon yet which it still could not believ into the wait wagon someth of me stood besid the gashi earth in the cedar somber gloom and heard the clumsi knell of clod upon the wood and answer no when judith at the grave s wound end said he wa a cathol
129,it broke down it vanish into that old impot logic and moral which had betray him befor and what day might it have been what furrow might he have stop dead in on foot advanc the unsenti plow handl in hi instantan unsenti hand what fenc panel held in midair as though it had no weight by muscl which could not rid it when he realiz that there wa more in hi problem than just lack of time that the problem contain some superdistil of thi lack that he wa now past sixti and that possibl he could get but one more son had at best but one more son in hi loin as the old cannon might know when it ha just one more shot in it corpor
128,thi wa my instant who could have fled then and did not who found that he had gone on and did not rememb when he had walk away who found my okra bed finish without rememb the complet of it who sat at the supper tabl that night with the familiar dreamcloudi shell which we had grown use to he did not look at me again dure the meal i might have said then to what delud sewergush of dream doe the incorrig flesh betray us but i did not and then befor the fire in judith s bedroom sat as we alway did until he came in the door and look at us and said judith you and and ceas still enter then said no never mind
127,turn twenti true enough yet still a child still live in that womblik corridor where the world came not even as live echo but as dead incomprehens shadow where with the quiet and unalarm amaz of a child i watch the miragi antic of men and father my sister thoma sutpen judith henri charl honor principl marriag love bereav death the child who watch him wa not a child but one of that triumvir motherwoman which we three judith clyti and i made which fed and cloth and warm the static shell and so gave vent and scope to the fierc vain illus and so said at last my life is worth someth even though it onli shield and guard the antic furi of an insan child
127,sinc he want so littl could have understood if the other had want the signal to be in secret would have been quick and glad to let it be in secret even if he could not have understood whi think in the middl of thi my god i am young young and i did nt even know it they did nt even tell me that i wa young feel that same despair and shame like when you have to watch your father fail in physic courag think it should have been me that fail me i not he who stem from that blood which we both bear befor it could have becom corrupt and taint by whatev it wa in mother s that he could not brook
127,i will do anyth he might ask me to do and that is whi he will never ask me to do anyth that i consid dishonor so that mayb he even kiss her that time the first time she had ever been kiss mayb and she too innoc to be coy or modest or even to know that she had been tempor with mayb afterward just look at him with a kind of peac and blank surpris at the fact that your sweetheart appar kiss you the first time like your brother of cours that your brother ever thought of could be brought to kiss you on the mouth that when the two day were up and he wa gone again and ellen shriek at her what
126,she accept reconcil though there is a breathingpoint in outrag where you can accept it almost with gratitud sinc you can say to yourself thank god thi is all at least i now know all of that cling still to that when she ran into the stabl that night while the veri men who had stolen into it from the rear fell back away from her with at least some grain of decenc and ellen see not the two black beast she had expect to see but instead a white one and a black one both nake to the waist and goug at one anoth s eye as if they should not onli have been the same color but should have been cover with fur too
126,there wa an ogr of my childhood which befor my birth remov my onli sister to it grim ogrebourn and produc two half phantom children whom i wa not encourag and did not desir to associ with as if my lateborn solitud had taught me presenti of that fate intertwin warn me of that fatal snarli climax befor i knew the name for i forgav it there wa a shape which rode away beneath a flag and demon or no courag i did more than just forgiv i slew it becaus the bodi the blood the memori which that ogr had dwelt in return five year later and held out it hand and said come as you might say it to a dog and i came
126,and that night they final found him and fetch him home in a wagon and carri him quiet and bloodi and with hi teeth still show in hi part beard which wa hardli grizzl although hi hair wa almost white now in the light of the lantern and the pine torch up the step where the tearless and stonefac daughter held the door open for him too who use to like to drive fast to church and who rode fast there thi time onli when it wa all over he had never reach the church sinc the daughter decid that he should be driven into that same methodist church in town where he had marri her mother befor return to the grave in the cedar grove
126,to lead them around the ditch and he and hi father cross just as the rain began to come down again gray and solid and slow make no sound quentin not awar yet of just where they were becaus he had been ride with hi head lower against the drizzl until he look up the slope befor them where the wet yellow sedg die upward into the rain like melt gold and saw the grove the clump of cedar on the crest of the hill dissolv into the rain as if the tree had been drawn in ink on a wet cedar beyond which beyond the ruin field beyond which would be the oak grove and the gray huge rot desert hous half a mile away
126,and he would nt know nor care about that either which of or wa who decid he should go to school nor whi becaus he had known all the time that hi mother wa up to someth and that the lawyer wa up to someth and he did nt care enough about what either of them wa to tri to find out who knew that the lawyer knew that hi mother wa up to someth but that hi mother did nt know that the lawyer wa up to someth and that it would be all right with the lawyer if hi mother got whatev it wa she want provid he the lawyer got what he want one second befor or at least at the same time
125,but the legend of sutpen s wild negro wa not to begin at onc becaus the wagon went on as though even the wood and iron which compos it as well as the mule which drew it had becom imbu by sheer associ with him with that qualiti of gaunt and tireless drive that convict for hast and of flee time later sutpen told quentin s grandfath that on that afternoon when the wagon pass through jefferson they had been without food sinc the previou night and that he wa tri to reach sutpen s hundr and the river bottom to tri to kill a deer befor dark so he and the architect and the negro would not have to spend anoth night without food
125,not gener compson said the hardship to sens and the outrag to sensibl of the two year sojourn but sutpen that onli an artist could have born sutpen s ruthless and hurri and still manag to curb the dream of grim and castlelik magnific at which sutpen obvious aim sinc the place as sutpen plan it would have been almost as larg as jefferson itself at the time that the littl grim harri foreign had singlehand given battl to and vanquish sutpen s fierc and overween vaniti or desir for magnific or for vindic or whatev it wa even gener compson did not know yet and so creat of sutpen s veri defeat the victori which in conquer sutpen himself would have fail to gain
125,we talk of him thoma sutpen of the end of the war we could all see it now and when he would return of what he would do how begin the herculean task which we knew he would set himself into which oh ye we knew thi too he would undoubtedli sweep us with the old ruthless whether we would or no we talk of henri normal useless impot womanworri about the absent to how he fare if he were cold or hungri or not just as we talk of hi father as if both they and we still live in that time which that shot those run mad feet had put a period to and then obliter as though that afternoon had never been
125,then it wa dawn or almost and it wa cold a chill which struck through the worn patch thin cloth through the someth of weari and undernourish the passiv abil not the volit will to endur there wa light somewher enough of it for him to distinguish bon s sleep face from among the other where he lay wrap in hi blanket beneath hi spread cloak enough light for him to wake bon by and for bon to distinguish hi face or perhap someth commun by henri s hand becaus bon doe not speak demand to know who it is he mere rise and put the cloak about hi shoulder and approach the smolder fire and is kick it into a blaze when henri speak
124,she would be wear alreadi the black bonnet with jet sequin he knew that and a shawl sit there in the augment and defunct twilight she would have even now in her hand or on her lap the reticul with all the key entranc closet and cupboard that the hous possess which she wa about to desert for perhap six hour and a parasol an umbrella too he thought think how she would be impervi to weather and season sinc although he had not spoken a hundr word to her in hi life befor thi afternoon he did know that she had never befor tonight quit that hous after sundown save on sunday and wednesday for prayer meet in the entir fortythre year probabl
124,then my father return and came for me and took me home and i becam again that nondescript too long a child yet too short a woman in the fitless garment which my aunt had left behind keep a fitless hous who wa not spi hide but wait watch for no reward no thank who did not love him in the sens we mean it becaus there is no love of that sort without hope who if it were love love with that sort beyond the compass of glib book that love which give up what it never had that penni s modicum which is the donor s all yet whose infinitesim weight add noth to the substanc of the yet i gave it
124,then when they were final back safe with the tusk after all the thing that had happen and the tusk were prop against the wall of the stick and mud hous lean there with their point touch the tusk so tall and thick that no one could believ them even when they touch them and no one not even hi father could reach to the top of the bend where they curv in for the point to meet there when juma and hi father and he were hero and kibo wa a hero s dog and the men who had carri the tusk were hero alreadi slightli drunk hero and to be drunker hi father had said do you want to make peac davey
124,that s how i got my middl name milton he said nineteen year old a brilliant student the shine light of the famili hi senior year at newark colleg of engin on and on rememb the ill the oper the fever the transfus the recoveri the coma the vigil the death the mind in it habitu way work to detach him from the agon isol of a man at the edg of oblivion and to connect hi brain tumor to a larger histori to place hi suffer in a context where he wa no longer someon alon with an afflict peculiarli and horribl hi own but a member of a clan whose trial he knew and accept and had no choic but to share
123,your grandfath said you did not wonder what had becom of the mother you did not even care death or elop or marriag she would not grow from one metamorphosi dissolut or the next carri along with her all the old accumul rubbishyear which we call memori the recogniz i but chang from phase to phase as the butterfli chang onc the cocoon is clear carri noth of what wa into what is leav noth of what is behind but elid complet and intact and unresist into the next avatar as the overblown rose or magnolia elid from one rich june to the next leav no bone no substanc no dust of whatev dead pristin soulless rich surrend anywher between sun and earth
123,he did nt know whether somebodi some travel had told him of some easi place or time some escap from the hardship of get food and keep warm in the mountain way or if perhap somebodi hi father knew onc or who knew hi father onc and rememb him happen to think about him or someon kin to him who had tri to forget him and could nt quit do it had sent for him and he had obey go not for the promis job but for the eas have faith perhap in the blood kinship to evad the labor if it wa kinship and in hi own inertia and in whatev god had watch over him thi far if it were not
122,ye he love bon who seduc him as sure as he seduc judith the countri boy born and bred who with the five or six other of that small undergradu bodi compos of other planter son whom bon permit to becom intim with him who ape hi cloth and manner and to the extent which they were abl hi veri manner of live look upon bon as though he were a hero out of some adolesc arabian night who had stumbl upon a talisman or touchston not to invest him with wisdom or power or wealth but with the abil and opportun to pass from the scene of one scarc imagin delight to the next one without interv or paus or satieti
122,sho kernel sho now and catch him as he fell and command the first pass wagon to take him to the hous and carri him up the front step and through the pointless formal door beneath it fanlight import pane by pane from europ which judith held open for him to enter with no chang no alter in that calm frozen face which she had worn for four year now and on up the stair and into the bedroom and put him to bed like a babi and then lie down himself on the floor besid the bed though not to sleep sinc befor dawn the man on the bed would stir and groan and jone would say hyer i am kernel
122,i mere explain how thi new fact render it imposs that thi woman and child be incorpor in my design and follow which as i told you i made no attempt to keep not onli that which i might consid myself to have earn at the risk of my life but which had been given to me by sign testimoni but on the contrari i declin and resign all right and claim to thi in order that i might repair whatev injustic i might be consid to have done by so provid for the two person whom i might be consid to have depriv of anyth i might later possess and thi wa agre to mind agre to between the two parti
122,now fogbound by hi own privat embattl of person moral that picayun split of abstract hair while grandfath said rome vanish and jericho crumbl that thi would be right if or that would be wrong but of slow blood and stiffen bone and arteri that father say men resort to in senil who while young and suppl and strong react to a singl simpl ye and a singl simpl no as instantan and complet and unthink as the snap on and off of electr sit there and talk and now grandfath not know what he wa talk about becaus now grandfath said he did not believ that sutpen himself knew becaus even yet sutpen had not quit told him all of it
122,more often that he knew perhap think would have suddenli flow into a pictur shape shape the long barren somehow equivoc counter with the still coldfac violenthair woman at one end as though guard it and at the other men with inwardlean head smoke steadili light and throw away their constant cigarett and the waitress the woman not much larger than a child go back and forth to the kitchen with her arm overladen with dish have to pass on each journey within touch distanc of the men who lean with their slant hat and spoke to her through the cigarett smoke murmur to her somewher near mirth or exult and her face muse demur downcast as if she had not heard
121,he live in the spartan shell of the largest edific in the counti not except the courthous itself whose threshold no woman had so much as seen without ani femin soft of windowpan or door or mattress where there wa not onli no woman to object if he should elect to have hi dog in to sleep on the pallet bed with him he did not even need dog to kill the game which left footprint within sight of the kitchen door but hunt it instead with human be who belong to him bodi and soul and of whom it wa believ or said that they could creep up to a bed buck and cut it throat befor it could move
121,and someth walk with judith and clyti back across that sunset field and answer in some curiou seren suspens to the seren quiet voic which talk of plow corn and cut winter wood and in the lamplit kitchen help thi time to cook the meal and help to eat it too within the room beyond whose ceil he no longer lay and went to bed ye took a candl from that firm untrembl hand and thought she did not even weep and then in a lampgloom mirror saw my own face and thought nor did you either within that hous where he had sojourn for anoth brief and thi time final space and left no trace of him not even tear
121,that is whi hi father decid all of a sudden to send him what nebul vision or shape might have evolv out of the fog of alcohol and niggerb and scheme to avoid work which hi old man call hi imag not of ambit nor glori not to see hi son better himself for hi own sake probabl not even some blind instant of revolt against that same hous whose roof had leak on probabl a hundr famili like hi which had come and live beneath it and vanish and left no trace noth not even rag and broken crockeri but wa probabl mere vindict envi toward one or two men planter whom he had to see everi now and then
120,not just the outsid the way he walk and talk and wore hi cloth and hand ellen into the diningroom or into the carriag and perhap probabl kiss her hand and which ellen envi for henri but the man fatalist and impenetr imperturb with which he watch them while he wait for them to do whatev it would be that they would do as if he had known all the while that the occas would aris when he would have to wait and that all he would need to do would be to wait had known that he had seduc henri and judith both too thoroughli to have ani fear that he might not marri judith when he wish to
120,becaus now and mother and sister and kin and sweetheart of those young come to oxford from further away than with food and bed and servant to bivouac among the famili the hous of oxford itself to watch the gallant mimic march and countermarch of the son and the brother drawn all of them rich and poor aristocrat and redneck by what is probabl the most move masssight of all human massexperi far more so than the spectacl of so mani virgin go to be sacrif to some heathen principl some sight of young men the light quick bone the bright gallant delud blood and flesh dress in a martial glitter of brass and plume march away to a battl
120,they wonder onli where and how clyti and judith had manag to keep him conceal all the time believ now that it had been a widow who had buri bon even though she had no paper to show for it and onli the incredul and shock specul of your grandfath who though he had that hundr dollar and the written direct in judith s hand for thi fourth tombston in hi safe at the time had not yet associ the boy with the child he had seen two year ago when the octoroon came there to weep at the grave to believ that the child might be clyti s got by it father on the bodi of hi own daughter
119,but i myself that deep exist which we lead to which the movement of limb is but a clumzi and belat accompani like so mani unnecessari instrument play crude and amateurishli out of time to the tune itself in that barren hall with it nake stair that carpet gone too rise into the dim upper hallway where an echo spoke which wa not mine but rather that of the lost irrevoc mighthavebeen which haunt all hous all enclos wall erect by human hand not for shelter not for warmth but to hide from the world s curiou look and see the dark turn which the ancient young delus of pride and hope and ambit ay and love too take
119,and he made no denial say noth refus to speak at all sit here in court sullen pale and silent so that at thi point all truth evid vanish into a moil clump of negro back and head and black arm and hand clutch stick of stove wood and cook implement and razor the white man the focal point of it and use a knife which he had produc from somewher clumsili with obviou lack of skill and practic yet with deadli earnest and a strength which hi slight build deni a strength compos of sheer desper will and impervi to the punish the blow and slash which he took in return and did not even seem to feel
119,he rememb talk at night befor the fire when they had compani or had themselv gone visit after supper to anoth cabin the voic of the women sober enough even calm yet fill with a qualiti dark and sullen and onli some man usual hi father in drink to break out into harsh recapitul of hi own worth the respect which hi own physic prowess command from hi fellow and the boy of either thirteen or fourteen or mayb twelv know that the men and the women were talk about the same thing though it had never onc been mention by name as when peopl talk about privat without mention the sieg about sick without ever name the epidem
118,at least some of them were tell one anoth that when two month later he return again without warn and accompani thi time by the cover wagon with a negro drive it and on the seat with the negro a small alertli resign man with a grim harri latin face in a frock coat and a flower waistcoat and a hat which would have creat no furor on a pari boulevard all of which he wa to wear constantli for the next two somberli theatric cloth and the express of fatalist and amaz hi white client and the negro crew which he wa to advis though not direct went stark nake save for a coat of dri mud
118,he just walk on erect with the new hat cock and carri in hi hand now that which must have seem to them the final gratuit insult with the committe ride along in the street besid him and not quit parallel and other who did not happen to have hors at the moment join in and follow the committe in the road and ladi and children and women slave come to the door and window of the home as they pass to watch as they went on in grim tableau and sutpen still without onc look back enter mr coldfield s gate and strode on up the brick walk to the door carri hi newspap cornucopia of flower
118,he had follow the demon within twelv hour on that same sunday and mayb to the same place mayb they would even have a scuppernong vine for them there and no compuls now of bread or ambit of fornic or vengeanc and mayb they would nt even have to drink onli they would miss thi now and then without know what it wa that they miss but not often seren pleasant unmark by time or chang of weather onli just now and then someth a wind a shadow and the demon would stop talk and jone would stop guffaw and they would look at one anoth grope grave intent and the demon would say what wa it wash
118,up on the beach there were beauti bareskin negress and none of them move but suddenli we were move our shin out of the harbor and the negress move slowli down to the shore and began to throw lei at us and say goodby columbu goodby columbu and though we did not want to go the littl boy and i the boat wa move and there wa noth we could do about it and he shout at me that it wa my fault and i shout it wa hi for not have a librari card but we were wast our breath for we were further and further from the island and soon the nativ were noth at all
117,when she shop there were twenti store in jefferson now she unbent without even get out of the carriag graciou and assur and talk the most complet nonsens speak her bright set meaningless phrase out of the part which she had written for herself of the duchess peripatet with properti soup and medicin among a soilless and uncompel woman who if she had had the fortitud to bear sorrow and troubl might have risen to actual stardom in the role of the matriarch arbitr from the firesid corner of a crone the pride and destini of her famili instead of turn at the last to the youngest member of it and ask her to protect the other
117,and there wa nobodi to know what transpir that even between him and judith in whatev carpetless room furnish with whatev chair and such which they had not had to chop up and burn to cook food or for warmth or mayb to heat water for ill from time to the woman who had been widow befor she had been a bride and the son of the man who had bereav her and a hereditari negro concubin who had not resent hi black blood so much as he had deni the white and thi with a curiou and outrag exagger in which wa inher it own irrevoc almost exactli as the demon himself might have done it
117,so the christma came and he and henri rode the forti mile to sutpen s hundr with henri still talk still keep distend and light and iridesc with steadi breath that fairi balloonvacuum in which the three of them exist live move even mayb in attitud without and the friend and the sister whom the friend had never seen and though henri did not know it had not even thought about yet but onli listen about from behind the more urgent think and henri probabl not even notic that the nearer they came to home the less bon talk had to say on ani subject and mayb even and certainli henri would not know thi listen less
117,he look at the two huge rot gate post in the starlight between which no gate swung now wonder from what direct bon and henri had ridden up that day wonder what had cast the shadow which bon wa not to pass aliv if some live tree which still live and bore leav and shed or if some tree gone vanish burn for warmth and food year ago now or perhap just gone or if it had been one of the two post themselv think wish that henri were there now to stop miss coldfield and turn them back tell himself that if henri were there now there would be no shot to be heard by anyon
117,there were time when she felt like recit the declar of independ just to watch hi head go up and down and to hear him say after everi famou sentenc you bet that sure is true that sure doe make a lot of sens boy that s just what my mom say the temptat to reveal him for the imbecil that he wa came over her most strongli when roy wa purpos act for joe s benefit tell some funni stori about what had happen to him up in the aleutian or discuss some colleg footbal team he and joe call the crimson tide and which normal he didn t seem to be interest in at all
116,for a price of cours but a price offer and accept or declin through a system more formal than ani that white girl are sold under sinc they are more valuabl as commod than white girl rais and train to fulfil a woman s sole end and purpos to love to be beauti to divert never to see a man s face hardli until brought to the ball and offer to and chosen by some man who in return not can and not will but must suppli her with the surround proper in which to love and be beauti and divert and who must usual risk hi life or at least hi blood for that privileg
116,he wa absent onli from the room and that becaus he had to be elsewher a part of him encompass each ruin field and fallen fenc and crumbl wall of cabin or cotton hous or crib himself diffus and in solut held by that electr furiou immobil urgenc and awar of short time and the need for hast as if he had just drawn breath and look about and realiz that he wa old he wa fiftynin and wa concern not afraid concern not that old age might have left him impot to do what he intend to do but that he might not have time to do it in befor he would have to die
116,anyway he wa sent to school for about three month one adolesc boy of thirteen or fourteen in a room full of children three or four year younger than he and three or four year further advanc and he not onli probabl bigger than the teacher the kind of teacher that would be teach a oneroom countri school in a nest of tidewat plantat but a good deal more of a man who probabl brought into the school with him along with hi sober watch mountain reserv a good deal of latent insubordin that he would not be awar of ani more than he would be awar at first that the teacher wa afraid of him
116,it lay again overturn a scatter of white ash fan out from the bowl onto the tabl befor hi cross nake arm with which he appear at the same time both to support and hug himself sinc although it wa onli eleven oclock the room wa begin to cool toward that point where about midnight there would be onli enough heat in the radiat to keep the pipe from freez though he would not perform hi deepbreath in the open window tonight at all he had yet to go to the bedroom and return first with hi bathrob on and next with hi overcoat on top of the bathrob and quentin s overcoat on hi arm
116,it wa not him of cours who had stood there that morn nor had he even worn the patch corduroy jacket fade almost white now the armpit rot through by sweat that he took off then and hand to hi kamba servant and brother who share with him the guilt and knowledg of the delay watch him smell the sour vinegari smell and shake hi head in disgust and then grin as he swung the jacket over hi black shoulder hold it by the sleev as they start off across the drybak gray the gun muzzl in their right hand the barrel balanc on their shoulder the heavi stock point back toward the line of porter
116,scapello would not descend upon the boy with hi chalki finger i walk up the three flight to stack three past the receiv room where rheumyey jimmi boylen our fiftyoneyearold boy unload book from a cart past the read room where bum off mulberri street slept over popular mechan past the smoke corridor where dampbrow summer student from the law school relax some smoke other tri to rub the color dye from their tort text off their fingertip and final past the period room where a few ancient ladi who d been motor down from upper montclair now huddl in their chair pincenez over yellow fray societi page in old old copi of the newark news
115,it wa now mr coldfield who insist on the visit who had never gone out with them while the aunt wa there perhap from a sens of duti which wa the reason he gave and which in thi case even the aunt would have believ perhap becaus it wa not the true one sinc doubtless even miss rosa would not have believ the true one which wa that mr coldfield want to see hi grandchildren regard whom he wa in a steadili increas uneas of that day when their father would tell the son at least of that old busi between them which mr coldfield wa not yet sure that hi soninlaw had never told
115,her carriag air now wa a littl regal she and judith made frequent trip to town now call upon the same ladi some of whom were now grandmoth whom the aunt had tri to forc to attend the wed twenti year ago and to the meager possibl which the town offer though she had succeed at last in evacu not onli the puritan heritag but realiti itself had immol outrag husband and incomprehens children into shade escap at last into a world of pure illus in which safe from ani harm she move live from attitud to attitud against her background of chatelain to the largest wife to the wealthiest mother of the most fortun
115,they are there yet someth is miss they are like a chemic formula exhum along with the letter from that forgotten chest care the paper old and fade and fall to piec the write fade almost indecipher yet meaning familiar in shape and sens the name and presenc of volatil and sentient forc you bring them togeth in the proport call for but noth happen you reread tediou and intent pore make sure that you have forgotten noth made no miscalcul you bring them togeth again and again noth happen just the word the symbol the shape themselv shadowi inscrut and seren against that turgid background of a horribl and bloodi mischanc of human affair
115,i ll come home with you for christma not to see the third inhabit of henri s fairi tale not to see the sister becaus he had not onc thought of her he had mere listen about her but think so at last i shall see him whom it seem i wa bred up never to expect to see whom i had even learn to live without think mayb how he would walk into the hous and see the man who made him and then he would know there would be that flash that instant of indisput recognit between them and he would know for sure and forev think mayb that s all i want
115,it would be while he would be lie in a bedroom of that privat hous in corinth after pittsburg land while hi shoulder got well two year later and the letter from the octoroon mayb even the one that contain the photograph of her and the child final overtak him wail for money and tell him that the lawyer had depart for texa or mexico or somewher at last and that she the octoroon could not find hi mother either and so without doubt the lawyer had murder her befor he stole the money sinc it would be just like both of them to flee or get themselv kill without provid for her at all
114,insid the gate what wa onc a park now spread unkempt in shaggi desol with an air dreami remot and aghast like the unshaven face of a man just wake from ether up to a huge hous where a young girl wait in a wed dress made from stolen scrap the hous partak too of that air of scale desol not have suffer from invas but a shell maroon and forgotten in a backwat of skeleton give of itself in slow driblet of furnitur and carpet linen and silver to help to die torn and anguish men who knew even while die that for month now the sacrific and the anguish were in vain
114,but then he believ that all that wa necessari wa courag and shrewd and the one he knew he had and the other he believ he could learn if it were to be taught and it probabl wa the hardship of the voyag which comfort him and that the men who said the ship wa go to the west indi had not lie to him becaus at that time grandfath said he probabl could not have believ in anyth that wa easi he said there it is and got up and they all went on and found where the architect had come back to the ground again with a gain of almost three hour
114,and that she told him and that he stood there for a minut and he did nt move at all with the ride whip against hi leg and the lattic of sunlight from the unchink wall fall upon him across hi white hair and hi beard that had nt turn at all yet and she said she saw hi eye and then hi teeth insid hi beard and that she would have run then onli she could nt could nt seem to make her leg bear to get up and run and then he look at the girl on the pallet again and said well milli too bad you re not a mare too
113,the face the smallest face in the compani watch him across the tabl with still and curiou and profound intens as though she actual had some intim gain from that rapport with the fluid cradl of event time which she had acquir or cultiv by listen beyond close door not to what she heard there but by becom supin and recept incap of either discrimin or opinion or incredul listen to the prefev s temperatur of disast which make soothsay and sometim make them right and of the futur catastroph in which the ogrefac of her childhood would appar vanish so complet that she would agre to marri the late owner of it
113,grandfath could nt see them yet he had nt even got to where they could hear him yet but he said he knew exactli how they would be sutpen have alreadi told wash to get the jug out and then wash spoke and sutpen begin to turn realiz that wash wa nt get the jug befor he comprehend the import of what wash wa say then comprehend that and still half turn and then all of a sudden kind of rear back and fling hi head up look at wash and wash stand there not cring either in that attitud dog and quiet and not cring and sutpen said what about the dress
113,jesu think how henri must have talk dure that winter and then that spring with lincoln elect and the alabama convent and the south began to draw out of the union and then there were two presid in the unit state and the telegraph brought the news about charleston and lincoln call out hi armi and it wa done irrevoc now and henri and bon alreadi decid to go without have to consult one anoth who would have gone anyway even if they had never seen one anoth but certainli now becaus after all you do nt wast a how they must have talk how henri would say but must you marri her
113,and how mayb she look at him and knew that would do no good either becaus she turn and overtook miss coldfield and caught her arm and said dont you go up there rosi and miss coldfield struck the hand away and went on toward the stair and now he saw that she had a flashlight he rememb how he thought it must have been in tie umbrella too along with the axe and clyti said rosi and ran after the other again whereupon miss coldfield turn on the step and struck clyti to the floor with a fullarm blow like a man would have and turn and went on up the stair
113,at seventeen look back he could see now the long seri of trivial clumsi vain effort born of frustrat and fumbl and dumb instinct the dish she would prepar for him in secret and then insist on hi accept and eat them in secret when he did not want them and he knew that mceachern would not care anyway the time when like tonight she would tri to get herself between him and the punish which deserv or not just or unjust wa imperson both the man and the boy accept it as a natur and inescap fact until she get in the way must give it an odor an attenu and aftertast
